Num,TS_LocksReady,TS_LockageStarts,Direction,transitTimeLH1,transitTimeLH2,transitTimeLH3,transitTimeLH4,equalzTimeUC,equalzTimeMC,equalzTimeLC,WSBasins,UCWSBs,MCWSBs,LCWSBs,Chamber_Length,Ship_Vol_Disp,Ocean_Salinity,Ocean_Level,Lake_Salinity,Lake_Level
13,02/01/2050 0:00,02/01/2050 0:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
14,02/01/2050 2:00,02/01/2050 2:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
15,02/01/2050 4:00,02/01/2050 4:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
16,02/01/2050 6:00,02/01/2050 6:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
17,02/01/2050 8:00,02/01/2050 8:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
18,02/01/2050 10:00,02/01/2050 10:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
19,02/01/2050 12:00,02/01/2050 12:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
20,02/01/2050 14:00,02/01/2050 14:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
21,02/01/2050 16:00,02/01/2050 16:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
22,02/01/2050 18:00,02/01/2050 18:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
23,02/01/2050 20:00,02/01/2050 20:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
24,02/01/2050 22:00,02/01/2050 22:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
25,03/01/2050 0:00,03/01/2050 0:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
26,03/01/2050 2:00,03/01/2050 2:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
27,03/01/2050 4:00,03/01/2050 4:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
28,03/01/2050 6:00,03/01/2050 6:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
29,03/01/2050 8:00,03/01/2050 8:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
30,03/01/2050 10:00,03/01/2050 10:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
31,03/01/2050 12:00,03/01/2050 12:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
32,03/01/2050 14:00,03/01/2050 14:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
33,03/01/2050 16:00,03/01/2050 16:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
34,03/01/2050 18:00,03/01/2050 18:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
35,03/01/2050 20:00,03/01/2050 20:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
36,03/01/2050 22:00,03/01/2050 22:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
37,04/01/2050 0:00,04/01/2050 0:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
38,04/01/2050 2:00,04/01/2050 2:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
39,04/01/2050 4:00,04/01/2050 4:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
40,04/01/2050 6:00,04/01/2050 6:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
41,04/01/2050 8:00,04/01/2050 8:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
42,04/01/2050 10:00,04/01/2050 10:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
43,04/01/2050 12:00,04/01/2050 12:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
44,04/01/2050 14:00,04/01/2050 14:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
45,04/01/2050 16:00,04/01/2050 16:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
46,04/01/2050 18:00,04/01/2050 18:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
47,04/01/2050 20:00,04/01/2050 20:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
48,04/01/2050 22:00,04/01/2050 22:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
49,05/01/2050 0:00,05/01/2050 0:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
50,05/01/2050 2:00,05/01/2050 2:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
51,05/01/2050 4:00,05/01/2050 4:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
52,05/01/2050 6:00,05/01/2050 6:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
53,05/01/2050 8:00,05/01/2050 8:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
54,05/01/2050 10:00,05/01/2050 10:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
55,05/01/2050 12:00,05/01/2050 12:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
56,05/01/2050 14:00,05/01/2050 14:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
57,05/01/2050 16:00,05/01/2050 16:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
58,05/01/2050 18:00,05/01/2050 18:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
59,05/01/2050 20:00,05/01/2050 20:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
60,05/01/2050 22:00,05/01/2050 22:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
